"","measure","location","age_group","year","mean"
"79","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",2008,0.03421
"80","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",2009,0.0332
"81","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",2010,0.03215
"82","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",2011,0.03122
"83","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",2012,0.03034
"84","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",2013,0.02964
"85","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",2014,0.02876
"86","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",2015,0.02798
"87","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",2016,0.02737
"88","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",2017,0.02678
"89","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",2018,0.0262
"90","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",2019,0.02563
"91","Unmet need for any contraceptive method","Cambodia","15-49 years",1990,0.2168
"92","Unmet need for any contraceptive method","Cambodia","15-49 years",1991,0.2172
"93","Unmet need for any contraceptive method","Cambodia","15-49 years",1992,0.2168
"94","Unmet need for any contraceptive method","Cambodia","15-49 years",1993,0.2157
"95","Unmet need for any contraceptive method","Cambodia","15-49 years",1994,0.2145
"96","Unmet need for any contraceptive method","Cambodia","15-49 years",1995,0.2122
"97","Unmet need for any contraceptive method","Cambodia","15-49 years",1996,0.2086
"98","Unmet need for any contraceptive method","Cambodia","15-49 years",1997,0.2048
"99","Unmet need for any contraceptive method","Cambodia","15-49 years",1998,0.2008
"100","Unmet need for any contraceptive method","Cambodia","15-49 years",1999,0.1959
"101","Unmet need for any contraceptive method","Cambodia","15-49 years",2000,0.1903
"102","Unmet need for any contraceptive method","Cambodia","15-49 years",2001,0.1831
"103","Unmet need for any contraceptive method","Cambodia","15-49 years",2002,0.1754
"104","Unmet need for any contraceptive method","Cambodia","15-49 years",2003,0.1675
"105","Unmet need for any contraceptive method","Cambodia","15-49 years",2004,0.1593
"106","Unmet need for any contraceptive method","Cambodia","15-49 years",2005,0.1511
"107","Unmet need for any contraceptive method","Cambodia","15-49 years",2006,0.1429
"108","Unmet need for any contraceptive method","Cambodia","15-49 years",2007,0.1349
"109","Unmet need for any contraceptive method","Cambodia","15-49 years",2008,0.1275
"110","Unmet need for any contraceptive method","Cambodia","15-49 years",2009,0.1209
"111","Unmet need for any contraceptive method","Cambodia","15-49 years",2010,0.1151
"112","Unmet need for any contraceptive method","Cambodia","15-49 years",2011,0.1105
"113","Unmet need for any contraceptive method","Cambodia","15-49 years",2012,0.1065
"114","Unmet need for any contraceptive method","Cambodia","15-49 years",2013,0.1028
"115","Unmet need for any contraceptive method","Cambodia","15-49 years",2014,0.09965
"116","Unmet need for any contraceptive method","Cambodia","15-49 years",2015,0.09823
"117","Unmet need for any contraceptive method","Cambodia","15-49 years",2016,0.09713
"118","Unmet need for any contraceptive method","Cambodia","15-49 years",2017,0.09627
"119","Unmet need for any contraceptive method","Cambodia","15-49 years",2018,0.0955
"120","Unmet need for any contraceptive method","Cambodia","15-49 years",2019,0.09475
"121","Unmet need for any contraceptive method","Indonesia","15-49 years",1990,0.1378
"122","Unmet need for any contraceptive method","Indonesia","15-49 years",1991,0.1326
"123","Unmet need for any contraceptive method","Indonesia","15-49 years",1992,0.1272
"124","Unmet need for any contraceptive method","Indonesia","15-49 years",1993,0.1219
"125","Unmet need for any contraceptive method","Indonesia","15-49 years",1994,0.1169
"126","Unmet need for any contraceptive method","Indonesia","15-49 years",1995,0.1126
"127","Unmet need for any contraceptive method","Indonesia","15-49 years",1996,0.109
"128","Unmet need for any contraceptive method","Indonesia","15-49 years",1997,0.106
"129","Unmet need for any contraceptive method","Indonesia","15-49 years",1998,0.1048
"130","Unmet need for any contraceptive method","Indonesia","15-49 years",1999,0.1039
"131","Unmet need for any contraceptive method","Indonesia","15-49 years",2000,0.1028
"132","Unmet need for any contraceptive method","Indonesia","15-49 years",2001,0.1017
"133","Unmet need for any contraceptive method","Indonesia","15-49 years",2002,0.1004
"134","Unmet need for any contraceptive method","Indonesia","15-49 years",2003,0.09959
"135","Unmet need for any contraceptive method","Indonesia","15-49 years",2004,0.09891
"136","Unmet need for any contraceptive method","Indonesia","15-49 years",2005,0.09834
"137","Unmet need for any contraceptive method","Indonesia","15-49 years",2006,0.09789
"138","Unmet need for any contraceptive method","Indonesia","15-49 years",2007,0.09751
"139","Unmet need for any contraceptive method","Indonesia","15-49 years",2008,0.09748
"140","Unmet need for any contraceptive method","Indonesia","15-49 years",2009,0.09762
"141","Unmet need for any contraceptive method","Indonesia","15-49 years",2010,0.0978
"142","Unmet need for any contraceptive method","Indonesia","15-49 years",2011,0.09783
"143","Unmet need for any contraceptive method","Indonesia","15-49 years",2012,0.09778
"144","Unmet need for any contraceptive method","Indonesia","15-49 years",2013,0.09747
"145","Unmet need for any contraceptive method","Indonesia","15-49 years",2014,0.09697
"146","Unmet need for any contraceptive method","Indonesia","15-49 years",2015,0.09603
"147","Unmet need for any contraceptive method","Indonesia","15-49 years",2016,0.09394
"148","Unmet need for any contraceptive method","Indonesia","15-49 years",2017,0.09072
"149","Unmet need for any contraceptive method","Indonesia","15-49 years",2018,0.08787
"150","Unmet need for any contraceptive method","Indonesia","15-49 years",2019,0.08506
"151","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",1990,0.2923
"152","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",1991,0.2899
"153","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",1992,0.2875
"154","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",1993,0.2851
"155","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",1994,0.2825
"156","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",1995,0.28
"157","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",1996,0.2772
"158","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",1997,0.274
"159","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",1998,0.2705
"160","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",1999,0.2665
"161","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",2000,0.2612
"162","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",2001,0.2532
"163","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",2002,0.2448
"164","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",2003,0.2361
"165","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",2004,0.2272
"166","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",2005,0.2184
"167","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",2006,0.2096
"168","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",2007,0.2007
"169","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",2008,0.1923
"170","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",2009,0.1844
"171","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",2010,0.1769
"172","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",2011,0.1699
"173","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",2012,0.1629
"174","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",2013,0.1563
"175","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",2014,0.1502
"176","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",2015,0.1445
"177","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",2016,0.1394
"178","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",2017,0.1347
"179","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",2018,0.1324
"180","Unmet need for any contraceptive method","Lao People's Democratic Republic","15-49 years",2019,0.1304
"181","Unmet need for any contraceptive method","Malaysia","15-49 years",1990,0.1386
"182","Unmet need for any contraceptive method","Malaysia","15-49 years",1991,0.1354
"183","Unmet need for any contraceptive method","Malaysia","15-49 years",1992,0.1322
"184","Unmet need for any contraceptive method","Malaysia","15-49 years",1993,0.1286
"185","Unmet need for any contraceptive method","Malaysia","15-49 years",1994,0.1246
"186","Unmet need for any contraceptive method","Malaysia","15-49 years",1995,0.1206
"187","Unmet need for any contraceptive method","Malaysia","15-49 years",1996,0.1164
"188","Unmet need for any contraceptive method","Malaysia","15-49 years",1997,0.1123
"189","Unmet need for any contraceptive method","Malaysia","15-49 years",1998,0.1089
"190","Unmet need for any contraceptive method","Malaysia","15-49 years",1999,0.1055
"191","Unmet need for any contraceptive method","Malaysia","15-49 years",2000,0.102
"192","Unmet need for any contraceptive method","Malaysia","15-49 years",2001,0.09899
"193","Unmet need for any contraceptive method","Malaysia","15-49 years",2002,0.09622
"194","Unmet need for any contraceptive method","Malaysia","15-49 years",2003,0.09367
"195","Unmet need for any contraceptive method","Malaysia","15-49 years",2004,0.0912
"196","Unmet need for any contraceptive method","Malaysia","15-49 years",2005,0.08879
"197","Unmet need for any contraceptive method","Malaysia","15-49 years",2006,0.0865
"198","Unmet need for any contraceptive method","Malaysia","15-49 years",2007,0.08422
"199","Unmet need for any contraceptive method","Malaysia","15-49 years",2008,0.08195
"200","Unmet need for any contraceptive method","Malaysia","15-49 years",2009,0.0799
"201","Unmet need for any contraceptive method","Malaysia","15-49 years",2010,0.07784
"202","Unmet need for any contraceptive method","Malaysia","15-49 years",2011,0.07598
"203","Unmet need for any contraceptive method","Malaysia","15-49 years",2012,0.07425
"204","Unmet need for any contraceptive method","Malaysia","15-49 years",2013,0.07269
"205","Unmet need for any contraceptive method","Malaysia","15-49 years",2014,0.07123
"206","Unmet need for any contraceptive method","Malaysia","15-49 years",2015,0.06989
"207","Unmet need for any contraceptive method","Malaysia","15-49 years",2016,0.06874
"208","Unmet need for any contraceptive method","Malaysia","15-49 years",2017,0.06739
"209","Unmet need for any contraceptive method","Malaysia","15-49 years",2018,0.06605
"210","Unmet need for any contraceptive method","Malaysia","15-49 years",2019,0.06479
"211","Unmet need for any contraceptive method","Maldives","15-49 years",1990,0.3454
"212","Unmet need for any contraceptive method","Maldives","15-49 years",1991,0.3406
"213","Unmet need for any contraceptive method","Maldives","15-49 years",1992,0.3354
"214","Unmet need for any contraceptive method","Maldives","15-49 years",1993,0.3297
"215","Unmet need for any contraceptive method","Maldives","15-49 years",1994,0.3235
"216","Unmet need for any contraceptive method","Maldives","15-49 years",1995,0.3172
"217","Unmet need for any contraceptive method","Maldives","15-49 years",1996,0.3103
"218","Unmet need for any contraceptive method","Maldives","15-49 years",1997,0.303
"219","Unmet need for any contraceptive method","Maldives","15-49 years",1998,0.2954
"220","Unmet need for any contraceptive method","Maldives","15-49 years",1999,0.2882
"221","Unmet need for any contraceptive method","Maldives","15-49 years",2000,0.28
"222","Unmet need for any contraceptive method","Maldives","15-49 years",2001,0.2726
"223","Unmet need for any contraceptive method","Maldives","15-49 years",2002,0.2659
"224","Unmet need for any contraceptive method","Maldives","15-49 years",2003,0.2594
"225","Unmet need for any contraceptive method","Maldives","15-49 years",2004,0.2535
"226","Unmet need for any contraceptive method","Maldives","15-49 years",2005,0.2496
"227","Unmet need for any contraceptive method","Maldives","15-49 years",2006,0.2453
"228","Unmet need for any contraceptive method","Maldives","15-49 years",2007,0.2414
"229","Unmet need for any contraceptive method","Maldives","15-49 years",2008,0.2382
"230","Unmet need for any contraceptive method","Maldives","15-49 years",2009,0.236
"231","Unmet need for any contraceptive method","Maldives","15-49 years",2010,0.235
"232","Unmet need for any contraceptive method","Maldives","15-49 years",2011,0.234
"233","Unmet need for any contraceptive method","Maldives","15-49 years",2012,0.2332
"234","Unmet need for any contraceptive method","Maldives","15-49 years",2013,0.2323
"235","Unmet need for any contraceptive method","Maldives","15-49 years",2014,0.2312
"236","Unmet need for any contraceptive method","Maldives","15-49 years",2015,0.23
"237","Unmet need for any contraceptive method","Maldives","15-49 years",2016,0.2285
"238","Unmet need for any contraceptive method","Maldives","15-49 years",2017,0.2264
"239","Unmet need for any contraceptive method","Maldives","15-49 years",2018,0.2238
"240","Unmet need for any contraceptive method","Maldives","15-49 years",2019,0.2206
"241","Unmet need for any contraceptive method","Myanmar","15-49 years",1990,0.1785
"242","Unmet need for any contraceptive method","Myanmar","15-49 years",1991,0.178
"243","Unmet need for any contraceptive method","Myanmar","15-49 years",1992,0.1763
"244","Unmet need for any contraceptive method","Myanmar","15-49 years",1993,0.1741
"245","Unmet need for any contraceptive method","Myanmar","15-49 years",1994,0.1714
"246","Unmet need for any contraceptive method","Myanmar","15-49 years",1995,0.1682
"247","Unmet need for any contraceptive method","Myanmar","15-49 years",1996,0.1648
"248","Unmet need for any contraceptive method","Myanmar","15-49 years",1997,0.1616
"249","Unmet need for any contraceptive method","Myanmar","15-49 years",1998,0.1582
"250","Unmet need for any contraceptive method","Myanmar","15-49 years",1999,0.1546
"251","Unmet need for any contraceptive method","Myanmar","15-49 years",2000,0.1512
"252","Unmet need for any contraceptive method","Myanmar","15-49 years",2001,0.1474
"253","Unmet need for any contraceptive method","Myanmar","15-49 years",2002,0.1438
"254","Unmet need for any contraceptive method","Myanmar","15-49 years",2003,0.14
"255","Unmet need for any contraceptive method","Myanmar","15-49 years",2004,0.1359
"256","Unmet need for any contraceptive method","Myanmar","15-49 years",2005,0.1317
"257","Unmet need for any contraceptive method","Myanmar","15-49 years",2006,0.1272
"258","Unmet need for any contraceptive method","Myanmar","15-49 years",2007,0.1226
"259","Unmet need for any contraceptive method","Myanmar","15-49 years",2008,0.1182
"260","Unmet need for any contraceptive method","Myanmar","15-49 years",2009,0.1139
"261","Unmet need for any contraceptive method","Myanmar","15-49 years",2010,0.1098
"262","Unmet need for any contraceptive method","Myanmar","15-49 years",2011,0.1061
"263","Unmet need for any contraceptive method","Myanmar","15-49 years",2012,0.1026
"264","Unmet need for any contraceptive method","Myanmar","15-49 years",2013,0.09911
"265","Unmet need for any contraceptive method","Myanmar","15-49 years",2014,0.09579
"266","Unmet need for any contraceptive method","Myanmar","15-49 years",2015,0.09273
"267","Unmet need for any contraceptive method","Myanmar","15-49 years",2016,0.09066
"268","Unmet need for any contraceptive method","Myanmar","15-49 years",2017,0.08864
"269","Unmet need for any contraceptive method","Myanmar","15-49 years",2018,0.08669
"270","Unmet need for any contraceptive method","Myanmar","15-49 years",2019,0.08484
"271","Unmet need for any contraceptive method","Philippines","15-49 years",1990,0.1715
"272","Unmet need for any contraceptive method","Philippines","15-49 years",1991,0.1699
"273","Unmet need for any contraceptive method","Philippines","15-49 years",1992,0.1675
"274","Unmet need for any contraceptive method","Philippines","15-49 years",1993,0.1639
"275","Unmet need for any contraceptive method","Philippines","15-49 years",1994,0.1583
"276","Unmet need for any contraceptive method","Philippines","15-49 years",1995,0.1528
"277","Unmet need for any contraceptive method","Philippines","15-49 years",1996,0.1486
"278","Unmet need for any contraceptive method","Philippines","15-49 years",1997,0.1455
"279","Unmet need for any contraceptive method","Philippines","15-49 years",1998,0.1434
"280","Unmet need for any contraceptive method","Philippines","15-49 years",1999,0.1414
"281","Unmet need for any contraceptive method","Philippines","15-49 years",2000,0.1399
"282","Unmet need for any contraceptive method","Philippines","15-49 years",2001,0.1388
"283","Unmet need for any contraceptive method","Philippines","15-49 years",2002,0.1378
"284","Unmet need for any contraceptive method","Philippines","15-49 years",2003,0.1368
"285","Unmet need for any contraceptive method","Philippines","15-49 years",2004,0.1353
"286","Unmet need for any contraceptive method","Philippines","15-49 years",2005,0.1336
"287","Unmet need for any contraceptive method","Philippines","15-49 years",2006,0.1318
"288","Unmet need for any contraceptive method","Philippines","15-49 years",2007,0.1294
"289","Unmet need for any contraceptive method","Philippines","15-49 years",2008,0.1268
"290","Unmet need for any contraceptive method","Philippines","15-49 years",2009,0.1237
"291","Unmet need for any contraceptive method","Philippines","15-49 years",2010,0.1203
"292","Unmet need for any contraceptive method","Philippines","15-49 years",2011,0.117
"293","Unmet need for any contraceptive method","Philippines","15-49 years",2012,0.1138
"294","Unmet need for any contraceptive method","Philippines","15-49 years",2013,0.111
"295","Unmet need for any contraceptive method","Philippines","15-49 years",2014,0.1088
"296","Unmet need for any contraceptive method","Philippines","15-49 years",2015,0.1069
"297","Unmet need for any contraceptive method","Philippines","15-49 years",2016,0.105
"298","Unmet need for any contraceptive method","Philippines","15-49 years",2017,0.1031
"299","Unmet need for any contraceptive method","Philippines","15-49 years",2018,0.101
"300","Unmet need for any contraceptive method","Philippines","15-49 years",2019,0.09879
"301","Unmet need for any contraceptive method","Sri Lanka","15-49 years",1990,0.09638
"302","Unmet need for any contraceptive method","Sri Lanka","15-49 years",1991,0.09295
"303","Unmet need for any contraceptive method","Sri Lanka","15-49 years",1992,0.09008
"304","Unmet need for any contraceptive method","Sri Lanka","15-49 years",1993,0.08738
"305","Unmet need for any contraceptive method","Sri Lanka","15-49 years",1994,0.08587
"306","Unmet need for any contraceptive method","Sri Lanka","15-49 years",1995,0.08447
"307","Unmet need for any contraceptive method","Sri Lanka","15-49 years",1996,0.08312
"308","Unmet need for any contraceptive method","Sri Lanka","15-49 years",1997,0.08192
"309","Unmet need for any contraceptive method","Sri Lanka","15-49 years",1998,0.08107
"310","Unmet need for any contraceptive method","Sri Lanka","15-49 years",1999,0.0806
"311","Unmet need for any contraceptive method","Sri Lanka","15-49 years",2000,0.08036
"312","Unmet need for any contraceptive method","Sri Lanka","15-49 years",2001,0.07982
"313","Unmet need for any contraceptive method","Sri Lanka","15-49 years",2002,0.07934
"314","Unmet need for any contraceptive method","Sri Lanka","15-49 years",2003,0.07885
"315","Unmet need for any contraceptive method","Sri Lanka","15-49 years",2004,0.0784
"316","Unmet need for any contraceptive method","Sri Lanka","15-49 years",2005,0.07799
"317","Unmet need for any contraceptive method","Sri Lanka","15-49 years",2006,0.07747
"318","Unmet need for any contraceptive method","Sri Lanka","15-49 years",2007,0.07736
"319","Unmet need for any contraceptive method","Sri Lanka","15-49 years",2008,0.07715
"320","Unmet need for any contraceptive method","Sri Lanka","15-49 years",2009,0.07685
"321","Unmet need for any contraceptive method","Sri Lanka","15-49 years",2010,0.0764
"322","Unmet need for any contraceptive method","Sri Lanka","15-49 years",2011,0.0758
"323","Unmet need for any contraceptive method","Sri Lanka","15-49 years",2012,0.07496
"324","Unmet need for any contraceptive method","Sri Lanka","15-49 years",2013,0.0741
"325","Unmet need for any contraceptive method","Sri Lanka","15-49 years",2014,0.07312
"326","Unmet need for any contraceptive method","Sri Lanka","15-49 years",2015,0.07202
"327","Unmet need for any contraceptive method","Sri Lanka","15-49 years",2016,0.0708
"328","Unmet need for any contraceptive method","Sri Lanka","15-49 years",2017,0.06902
"329","Unmet need for any contraceptive method","Sri Lanka","15-49 years",2018,0.0671
"330","Unmet need for any contraceptive method","Sri Lanka","15-49 years",2019,0.0651
"331","Unmet need for any contraceptive method","Thailand","15-49 years",1990,0.07878
"332","Unmet need for any contraceptive method","Thailand","15-49 years",1991,0.07746
"333","Unmet need for any contraceptive method","Thailand","15-49 years",1992,0.07631
"334","Unmet need for any contraceptive method","Thailand","15-49 years",1993,0.07529
"335","Unmet need for any contraceptive method","Thailand","15-49 years",1994,0.0743
"336","Unmet need for any contraceptive method","Thailand","15-49 years",1995,0.07326
"337","Unmet need for any contraceptive method","Thailand","15-49 years",1996,0.07225
"338","Unmet need for any contraceptive method","Thailand","15-49 years",1997,0.07164
"339","Unmet need for any contraceptive method","Thailand","15-49 years",1998,0.07142
"340","Unmet need for any contraceptive method","Thailand","15-49 years",1999,0.07121
"341","Unmet need for any contraceptive method","Thailand","15-49 years",2000,0.0711
"342","Unmet need for any contraceptive method","Thailand","15-49 years",2001,0.07106
"343","Unmet need for any contraceptive method","Thailand","15-49 years",2002,0.07136
"344","Unmet need for any contraceptive method","Thailand","15-49 years",2003,0.0716
"345","Unmet need for any contraceptive method","Thailand","15-49 years",2004,0.07169
"346","Unmet need for any contraceptive method","Thailand","15-49 years",2005,0.07159
"347","Unmet need for any contraceptive method","Thailand","15-49 years",2006,0.0712
"348","Unmet need for any contraceptive method","Thailand","15-49 years",2007,0.07055
"349","Unmet need for any contraceptive method","Thailand","15-49 years",2008,0.07016
"350","Unmet need for any contraceptive method","Thailand","15-49 years",2009,0.07009
"351","Unmet need for any contraceptive method","Thailand","15-49 years",2010,0.06993
"352","Unmet need for any contraceptive method","Thailand","15-49 years",2011,0.06996
"353","Unmet need for any contraceptive method","Thailand","15-49 years",2012,0.07009
"354","Unmet need for any contraceptive method","Thailand","15-49 years",2013,0.06971
"355","Unmet need for any contraceptive method","Thailand","15-49 years",2014,0.06962
"356","Unmet need for any contraceptive method","Thailand","15-49 years",2015,0.06957
"357","Unmet need for any contraceptive method","Thailand","15-49 years",2016,0.06945
"358","Unmet need for any contraceptive method","Thailand","15-49 years",2017,0.06902
"359","Unmet need for any contraceptive method","Thailand","15-49 years",2018,0.06825
"360","Unmet need for any contraceptive method","Thailand","15-49 years",2019,0.06704
"361","Unmet need for any contraceptive method","Timor-Leste","15-49 years",1990,0.171
"362","Unmet need for any contraceptive method","Timor-Leste","15-49 years",1991,0.1686
"363","Unmet need for any contraceptive method","Timor-Leste","15-49 years",1992,0.1678
"364","Unmet need for any contraceptive method","Timor-Leste","15-49 years",1993,0.167
